Codigo_Item,Descripcion_Item
00560,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, PERICARDIO Y GRANDES VASOS DEL TÓRAX, SIN BOMBA OXIGENADORA"
00561,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, SACO PERICÁRDICO, Y GRANDES VASOS DEL TÓRAX, CON BOMBA DE OXIGENACIÓN, EN MENORES DE UN AÑO DE EDAD"
00562,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, PERICARDIO, Y GRANDES VASOS DEL TÓRAX, CON BOMBA OXIGENADORA EN PERSONAS DE 1 AÑO O MAYORES, PARA TODO PROCEDIMIENTO QUE NO SEA DE BYPASS CORONARIO (P. EJ. PROCEDIMIENTOS VALVULARES) O POR RE-OPERACIÓN POR BYPA"
00563,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, SACO PERICÁRDICO, Y GRANDES VASOS DEL TÓRAX, CON BOMBA DE OXIGENACIÓN CON PARO CIRCULATORIO HIPOTÉRMICO"
00566,ANESTESIA PARA COLOCAR INJERTO DE DERIVACIÓN ARTERIAL CORONARIA DIRECTA SIN BOMBA DE OXIGENACIÓN
00567,ANESTESIA PARA COLOCAR INJERTO DE DERIVACIÓN ARTERIAL CORONARIA DIRECTA CON BOMBA DE OXIGENACIÓN
00580,ANESTESIA PARA TRASPLANTE DE CORAZÓN O TRASPLANTE DE CORAZÓN/PULMÓN
00600,"ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA CERVICAL Y MÉDULA ESPINAL CERVICAL, NO ESPECIFICADOS DE OTRA FORMA"
00604,"ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA CERVICAL Y MÉDULA ESPINAL CERVICAL, LAMINECTOMÍA CERVICAL POSTERIOR EN POSICIÓN DE SENTADO"
00620,"ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA TORÁCICA Y MÉDULA ESPINAL TORÁCICA, NO ESPECIFICADOS DE OTRA FORMA"
00622,"ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA TORÁCICA Y MÉDULA ESPINAL TORÁCICA, SIMPATECTOMÍA TORACOLUMBAR"
00625,"ANESTESIA PARA PROCEDIMIENTOS EN LA COLUMNA TORÁCICA Y MÉDULA, A TRAVÉS DE ABORDAJE TRANSTORÁCICO ANTERIOR, SIN UTILIZAR VENTILACIÓN DE UN PULMÓN"
00626,"ANESTESIA PARA PROCEDIMIENTOS EN LA COLUMNA TORÁCICA Y MÉDULA, A TRAVÉS DE ABORDAJE TRANSTORÁCICO ANTERIOR, UTILIZANDO VENTILACIÓN DE UN PULMÓN"
00630,"ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR, NO ESPECIFICADOS DE OTRA FORMA"
00632,"ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR, SIMPATECTOMÍA LUMBAR"
00634,"ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR, QUIMIONUCLEÓLISIS"
00635,"ANESTESIA PARA PROCEDIMIENTOS EN LA REGIÓN LUMBAR, PUNCIÓN LUMBAR DIAGNÓSTICA Y TERAPÉUTICA"
00640,ANESTESIA PARA MANIPULACIÓN DE LA COLUMNA O PARA PROCEDIMIENTOS CERRADOS EN LA COLUMNA CERVICAL, TORÁCICA O LUMBAR
00670,ANESTESIA PARA PROCEDIMIENTOS AMPLIOS EN EL COLUMNA VERTEBRAL Y MÉDULA ESPINAL (P. EJ. INSTRUMENTACIÓN DE COLUMNA O PROCEDIMIENTOS VASCULARES)
00700,"ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL ANTERIOR ALTA, NO ESPECIFICADOS DE OTRA FORMA"
00702,"ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL ANTERIOR ALTA, BIOPSIA PERCUTÁNEA DE HÍGADO"
00730,ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL POSTERIOR ALTA
00740,ANESTESIA PARA PROCEDIMIENTOS ENDOSCÓPICOS GASTROINTESTINALES ALTOS, ENDOSCOPIO INTRODUCIDO PROXIMALMENTE AL DUODENO
00750,"ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO, NO ESPECIFICADO DE OTRA FORMA"
00752,"ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO, HERNIAS LUMBAR Y VENTRAL (INCISIONAL) Y/O DEHISCENCIA DE HERIDA"
00754,"ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO, ONFALOCELE"
00756,"ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO, CORRECCIÓN TRANSABDOMINAL DE HERNIA DIAFRAGMÁTICA"
00770,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN VASOS SANGUÍNEOS MAYORES ABDOMINALES
00790,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA, NO ESPECIFICADOS DE OTRA FORMA"
00792,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA, HEPATECTOMÍA PARCIAL O MANEJO DE HEMORRAGIA HEPÁTICA (EXCLUYENDO BIOPSIA HEPÁTICA)"
00794,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA, PANCREATECTOMÍA PARCIAL O TOTAL (P. EJ. PROCEDIMIENTO DE WHIPPLE)"
00796,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA, TRASPLANTE DE HÍGADO (RECEPTOR)"
00797,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN ABDOMEN SUPERIOR INCLUYENDO LAPAROSCOPÍA, PROCEDIMIENTOS RESTRICTIVOS GÁSTRICOS PARA OBESIDAD MÓRBIDA"
00800,"ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL ANTERIOR BAJA, NO ESPECIFICADOS DE OTRA FORMA"
00802,"ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL ANTERIOR BAJA, PANICULECTOMÍA"
00810,ANESTESIA PARA PROCEDIMIENTOS ENDOSCÓPICOS DE INTESTINO INFERIOR, ENDOSCOPIO INTRODUCIDO DISTALMENTE AL DUODENO
00820,ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL POSTERIOR BAJA
00830,"ANESTESIA PARA CORRECCIONES DE HERNIAS EN EL ABDOMEN BAJO, NO ESPECIFICADOS DE OTRA FORMA"
00832,"ANESTESIA PARA CORRECCIONES DE HERNIAS EN EL ABDOMEN BAJO, HERNIAS VENTRALES E INCISIONALES"
00834,ANESTESIA PARA REPARACIÓN DE HERNIA EN EL ABDOMEN INFERIOR NO ESPECIFICADA, EN MENORES DE UN AÑO DE EDAD
00836,ANESTESIA PARA REPARACIÓN DE HERNIA EN EL ABDOMEN INFERIOR NO ESPECIFICADA, EN INFANTES MENORES DE 37 SEMANAS DE EDAD GESTACIONAL AL NACIMIENTO Y MENORES DE 50 SEMANAS DE EDAD GESTACIONAL AL MOMENTO DE LA CIRUGÍA
00840,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA, NO ESPECIFICADOS DE OTRA FORMA"
00842,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA, AMNIOCENTESIS"
00844,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA, RESECCIÓN ABDOMINOPERINEAL"
00846,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA, HISTERECTOMÍA RADICAL"
00848,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA, EXENTERACIÓN PÉLVICA"
00851,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN INFERIOR INCLUYENDO LAPAROSCOPÍA, LIGADURA/TRANSECCIÓN DE TROMPAS"
00860,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEAL ES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO, NO ESPECIFICADOS DE OTRA FORMA"
00862,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO, PROCEDIMIENTOS RENALES, INCLUYENDO EL TERCIO SUPERIOR DEL URÉTER, O NEFRECTOMÍA DEL DONANTE"
00864,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO, CISTECTOMÍA TOTAL"
00865,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO, PROSTATECTOMÍA RADICAL (SUPRAPÚBICA, RETROPÚBICA)"
00866,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO, ADRENALECTOMÍA"
00868,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO, TRASPLANTE RENAL (RECEPTOR)"
00870,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO, CISTOLITOTOMÍA"
00872,"ANESTESIA PARA LITOTRIPSIA, ONDA DE CHOQUE EXTRACORPÓREA, CON BAÑO DE AGUA"
00873,"ANESTESIA PARA LITOTRIPSIA, ONDA DE CHOQUE EXTRACORPÓREA, SIN BAÑO DE AGUA"
00880,"ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL ABDOMEN BAJO, NO ESPECIFICADOS DE OTRA FORMA"
00882,"ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL ABDOMEN BAJO, LIGADURA DE VENA CAVA INFERIOR"
00902,ANESTESIA PARA PROCEDIMIENTO ANORRECTAL
00904,ANESTESIA PARA PROCEDIMIENTO PERINEAL RADICAL
00906,ANESTESIA PARA VULVECTOMÍA
00908,ANESTESIA PARA PROSTATECTOMÍA PERINEAL
00910,"ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA), NO ESPECIFICADOS DE OTRA FORMA"
00912,"ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA), RESECCIÓN TRANSURETRAL DE TUMORES DE VEJIGA"
00914,"ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA), RESECCIÓN TRANSURETRAL DE PRÓSTATA"
00916,"ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA), SANGRADO POSTERIOR A RESECCIÓN TRANSURETRAL"
00918,"ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA), CON FRAGMENTACIÓN Y/O EXTIRPACIÓN DE CÁLCULO URETRAL"
00920,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA), NO ESPECIFICADOS DE OTRA FORMA"
00921,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA), VASECTOMÍA, UNILATERAL O BILATERAL"
00922,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA), VESÍCULAS SEMINALES"
00924,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), TESTÍCULOS NO DESCENDIDOS, UNILATERAL O BILATERAL"
00926,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), ORQUIECTOMÍA RADICAL, INGUINAL"
00928,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), ORQUIECTOMÍA RADICAL, ABDOMINAL"
00930,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), ORQUIOPEXIA, UNILATERAL O BILATERAL"
00932,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), AMPUTACIÓN COMPLETA DEL PENE"
00934,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), AMPUTACIÓN RADICAL DEL PENE CON LINFADENECTOMÍA INGUINAL BILATERAL"
00936,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), AMPUTACIÓN RADICAL DEL PENE CON LINFADENECTOMÍA ILÍACA E INGUINAL BILATERALES"
00938,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA), INSERCIÓN DE PRÓTESIS DE PENE (ABORDAJE PERINEAL)"
00940,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO), NO ESPECIFICADOS DE OTRA FORMA"
00942,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO), COLPOTOMÍA, COLPECTOMÍA, COLPORRAFIA Y PROCEDIMIENTOS ABIERTOS DE URETRA"
00944,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO), HISTERECTOMÍA VAGINAL"
00948,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO), CERCLAJE CERVICAL"
00950,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO), CULDOSCOPIA"
00952,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO), HISTEROSCOPIA Y/O HISTEROSALPINGOGRAFÍA"
01112,ANESTESIA PARA ASPIRACIÓN DE MÉDULA BIOPSIA, EN LA CRESTA ILÍACA ANTERIOR O POSTERIOR
01120,ANESTESIA PARA PROCEDIMIENTOS EN LA PELVIS ÓSEA
01130,ANESTESIA PARA APLICACIÓN O REVISIÓN DE YESO CORPORAL
01140,ANESTESIA PARA AMPUTACIÓN INTERPELVIABDOMINAL (CUARTO TRASERO)
01150,ANESTESIA PARA PROCEDIMIENTOS RADICALES POR TUMOR DE LA PELVIS, EXCEPTO AMPUTACIÓN DE CUARTO TRASERO
01160,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO QUE INVOLUCRAN A LA SÍNFISIS DEL PUBIS O ARTICULACIÓN SACROILÍACA
01170,ANESTESIA PARA PROCEDIMIENTOS A CIELO ABIERTO QUE INVOLUCRAN A LA SÍNFISIS DEL PUBIS O ARTICULACIÓN SACROILÍACA
01173,ANESTESIA PARA REPARACIÓN ABIERTA DE DISRUPCIÓN DE FRACTURA DE LA PELVIS O FRACTURA DE LA COLUMNA CON COMPROMISO DEL ACETÁBULO
01180,"ANESTESIA PARA NEURECTOMÍA DEL OBTURADOR, EXTRAPÉLVICA"
01190,"ANESTESIA PARA NEURECTOMÍA DEL OBTURADOR, INTRAPÉLVICA"
01200,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS A CIELO CERRADO QUE INVOLUCRAN LA ARTICULACIÓN DE LA CADERA
01202,ANESTESIA PARA PROCEDIMIENTOS ARTROSCÓPICOS EN ARTICULACIÓN DE LA CADERA
